2,6
3,6
5,6
8,6
11,3
12,6
13,6
16,6
17,2
18,2
19,2
20,3
21,6
22,6
24,3
29,6
31,6
32,3
35,3
36,6
37,6
40,2
47,6
48,6
50,6
51,6
53,6
56,2
58,6
59,6
63,2
67,3
68,6
84,6
87,2
90,3
91,2
95,3
96,3
97,3
98,6
99,6
103,3
107,2
111,3
114,3
116,6
122,2
124,6
125,6
127,6
131,6
133,2
135,2
137,6
138,3
139,3
141,3
142,6
145,6
146,2
147,6
148,3
152,2
154,2
155,3
156,2
157,6
158,6
160,6
161,3
162,6
167,6
171,3
178,6
180,6
182,2
184,6
190,3
192,2
193,3
194,3
204,3
206,6
208,2
210,6
211,3
216,2
218,2
223,6
225,2
240,2
241,6
243,6
244,6
245,2
247,6
248,6
250,6
252,2
253,2
254,2
255,6
257,6
264,6
269,6
270,3
272,6
273,6
275,2
277,2
279,2
280,6
282,2
283,3
288,6
289,3
290,3
291,3
294,6
296,6
299,3
300,6
302,6
304,6
305,3
307,3
311,6
312,6
313,6
314,3
315,6
317,3
319,6
320,2
324,6
325,2
326,3
332,3
334,2
339,6
341,6
343,2
344,6
351,2
352,6
354,3
359,6
363,3
365,6
369,3
376,2
380,3
381,3
383,2
384,6
385,2
387,3
389,3
390,6
392,6
393,2
395,6
397,3
398,6
403,2
405,6
406,3
408,6
410,6
412,6
418,3
426,6
428,6
431,3
434,6
445,6
448,6
451,2
452,6
453,6
454,6
456,6
459,2
460,6
461,6
462,2
464,2
465,6
467,6
470,6
471,2
474,6
476,6
482,6
484,2
485,2
486,3
489,3
491,6
492,3
493,6
496,2
497,6
498,6
499,2
501,2
502,3
505,2
506,3
507,3
508,3
515,3
517,3
521,6
522,2
524,2
526,2
527,6
530,6
531,3
533,3
534,6
535,6
537,6
538,6
545,6
549,2
552,6
553,6
556,3
558,3
560,2
563,6
565,6
567,2
569,6
570,6
575,3
589,3
590,3
606,6
619,6
623,6
632,6
634,2
635,6
639,3
641,2
643,6
652,6
656,2
657,6
658,6
659,3
664,3
667,2
673,6
684,2
686,2
687,6
690,3
692,3
695,3
697,3
699,6
702,2
704,2
705,6
709,6
710,6
714,6
715,6
716,6
719,6
722,6
725,3
726,6
727,3
728,2
731,2
732,3
733,6
736,6
739,6
741,6
745,3
748,3
750,3
753,6
757,2
763,3
766,6
768,6
774,6
776,3
779,3
782,6
785,6
797,6
798,6
801,2
802,6
803,6
804,6
805,6
811,6
813,2
816,6
823,6
824,2
827,2
829,6
833,2
834,3
842,6
845,6
847,2
850,3
851,3
852,2
855,2
856,2
862,6
872,6
874,3
875,6
878,6
881,2
883,6
884,3
887,2
888,2
889,6
890,6
894,3
896,6
897,2
898,6
899,2
907,2
910,3
912,3
913,6
914,6
917,6
918,3
925,6
926,2
927,6
928,2
930,3
931,2
934,3
939,6
940,6
941,6
942,2
946,2
954,2
957,6
958,6
959,6
962,6
965,6
968,3
974,2
975,3
978,6
979,3
982,6
983,2
986,6
989,3
994,3
997,6
999,3
1001,6
1004,3
1005,3
1007,3
1008,3
1009,2
1011,6
1014,6
1016,2
1017,3
1018,3
1019,6
1020,3
1022,2
1025,3
1028,6
1031,6
1037,6
1038,6
1040,6
1041,2
1042,6
1048,2
1049,3
1050,6
1051,3
1053,6
1054,6
1056,3
1058,6
1059,6
1075,2
1076,3
1077,3
1078,2
1079,6
1080,6
1082,2
1085,2
1093,6
1094,6
1097,3
1102,6
1108,6
1110,6
1112,6
1118,2
1121,3
1125,2
1127,6
1132,3
1134,3
1138,3
1140,3
1141,2
1145,6
1147,2
1149,6
1157,6
1160,6
1162,6
1164,2
1167,6
1169,6
1170,6
1171,6
1173,6
1174,3
1175,2
1177,6
1178,2
1180,2
1182,3
1183,6
1184,3
1186,3
1187,6
1189,3
1192,3
1194,6
1197,2
1199,2
1200,2
1201,6
1202,6
1204,2
1209,6
1214,6
1215,3
1218,6
1221,6
1222,6
1223,6
1226,6
1231,6
1234,6
1237,2
1238,6
1239,6
1241,6
1243,2
1245,6
1246,3
1247,3
1249,6
1251,2
1252,2
1257,2
1258,6
1263,6
1264,6
1265,2
1273,3
1277,3
1283,3
1286,2
1288,6
1290,6
1296,2
1297,2
1298,6
1300,2
1303,3
1304,2
1309,3
1310,6
1311,3
1313,6
1316,6
1318,6
1320,2
1328,6
1330,3
1332,6
1335,6
1336,2
1337,2
1338,2
1339,2
1342,3
1346,6
1347,6
1352,6
1353,3
1357,6
1358,3
1362,6
1363,6
1364,3
1366,3
1368,2
1369,3
1370,6
1371,6
1378,2
1380,6
1388,3
1392,6
1396,2
1400,3
1407,2
1413,3
1415,3
1420,2
1422,3
1425,6
1426,2
1428,3
1431,2
1432,3
1434,3
1435,3
1436,3
1438,6
1443,2
1445,3
1450,2
1454,6
